pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
258,2025-08-31T09:19:55.221640,1 (151),left,0,7,right,neither,1,7,1,7,2,7,,,TEST_258
258,2025-08-31T08:46:02.221640,1 (151),right,1,6,neither,right,3,4,,5,,2,2,5,TEST_258
258,2025-08-31T09:40:24.221640,1 (151),full,2,1,neither,right,1,1,,5,3,1,,,TEST_258
258,2025-08-31T09:06:05.221640,2 (165),left,0,3,neither,neither,1,,5,,7,,,3,TEST_258
258,2025-08-31T08:55:16.221640,2 (165),right,1,4,neither,right,7,6,5,,,3,,,TEST_258
258,2025-08-31T08:51:01.221640,2 (165),full,2,7,left,right,7,7,5,,6,,,5,TEST_258
258,2025-08-31T09:07:33.221640,3 (196),left,0,4,neither,right,7,,4,4,2,,7,2,TEST_258
258,2025-08-31T09:09:42.221640,3 (196),right,1,1,neither,neither,6,1,1,2,4,7,,5,TEST_258
258,2025-08-31T09:18:31.221640,3 (196),full,2,6,neither,left,1,7,2,,,3,6,,TEST_258
258,2025-08-31T09:04:54.221640,4 (165),left,0,7,left,neither,5,5,2,,,3,,,TEST_258
258,2025-08-31T09:27:27.221640,4 (165),right,1,7,neither,left,2,,,,,3,,,TEST_258
258,2025-08-31T09:27:44.221640,4 (165),full,2,5,right,right,6,,6,,2,,5,,TEST_258
258,2025-08-31T09:38:02.221640,5 (154),left,0,5,neither,right,4,7,2,,,4,2,6,TEST_258
258,2025-08-31T08:43:35.221640,5 (154),right,1,5,right,right,4,,,5,,1,,1,TEST_258
258,2025-08-31T09:14:02.221640,5 (154),full,2,4,neither,left,1,2,,3,,,,2,TEST_258
258,2025-08-31T09:16:22.221640,6 (172),left,0,6,right,neither,2,1,6,,,7,,7,TEST_258
258,2025-08-31T09:07:20.221640,6 (172),right,1,6,right,neither,6,,,,,,,3,TEST_258
258,2025-08-31T09:21:56.221640,6 (172),full,2,4,neither,right,5,,7,,,6,1,,TEST_258
258,2025-08-31T09:27:17.221640,7 (108),left,0,7,left,left,2,6,,,,5,,,TEST_258
258,2025-08-31T09:13:02.221640,7 (108),right,1,6,left,left,5,4,,,,6,6,2,TEST_258
258,2025-08-31T09:06:09.221640,7 (108),full,2,3,neither,left,5,,,1,6,,,6,TEST_258
258,2025-08-31T08:52:46.221640,8 (130),left,0,6,left,neither,5,,,,,6,,,TEST_258
258,2025-08-31T09:25:20.221640,8 (130),right,1,1,neither,left,4,,,,,,,,TEST_258
