pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
235,2025-08-29T19:35:10.221640,1 (115),left,0,5,right,neither,5,,,,,,4,,TEST_235
235,2025-08-29T19:20:09.221640,1 (115),right,1,5,left,neither,5,,1,,,5,6,,TEST_235
235,2025-08-29T18:43:59.221640,1 (115),full,2,5,left,right,5,2,,,,,1,,TEST_235
235,2025-08-29T18:58:15.221640,2 (114),left,0,7,neither,neither,5,4,6,5,3,2,,3,TEST_235
235,2025-08-29T19:12:00.221640,2 (114),right,1,1,neither,left,7,4,6,,6,3,7,1,TEST_235
235,2025-08-29T18:46:58.221640,2 (114),full,2,2,left,right,7,,6,,6,,6,,TEST_235
235,2025-08-29T19:28:36.221640,3 (106),left,0,2,left,neither,7,5,7,,3,,,3,TEST_235
235,2025-08-29T19:04:18.221640,3 (106),right,1,7,left,right,2,3,7,,,1,5,3,TEST_235
235,2025-08-29T19:38:54.221640,3 (106),full,2,1,left,neither,7,,7,,7,6,7,7,TEST_235
235,2025-08-29T18:52:22.221640,4 (145),left,0,5,neither,right,3,4,,,3,4,,,TEST_235
235,2025-08-29T19:09:56.221640,4 (145),right,1,5,neither,neither,6,2,2,1,,,,,TEST_235
235,2025-08-29T19:18:06.221640,4 (145),full,2,3,neither,right,3,2,,,,7,,4,TEST_235
235,2025-08-29T19:20:35.221640,5 (136),left,0,3,neither,left,7,,,1,2,7,,1,TEST_235
235,2025-08-29T19:31:19.221640,5 (136),right,1,1,neither,neither,4,6,6,,5,2,,,TEST_235
235,2025-08-29T18:55:14.221640,5 (136),full,2,3,left,neither,1,1,7,,4,4,5,2,TEST_235
235,2025-08-29T18:56:39.221640,6 (110),left,0,6,left,right,6,1,1,,,4,,,TEST_235
235,2025-08-29T19:33:18.221640,6 (110),right,1,2,right,neither,5,,1,,5,,1,6,TEST_235
235,2025-08-29T19:21:34.221640,6 (110),full,2,4,neither,neither,3,,,2,7,2,7,,TEST_235
235,2025-08-29T18:58:35.221640,7 (161),left,0,5,left,left,7,,,1,,,5,,TEST_235
235,2025-08-29T19:04:50.221640,7 (161),right,1,1,right,left,1,1,,,,3,7,,TEST_235
235,2025-08-29T19:02:18.221640,7 (161),full,2,3,neither,left,3,4,,,,1,,,TEST_235
235,2025-08-29T19:15:26.221640,8 (188),left,0,6,neither,left,1,,1,5,3,,,3,TEST_235
235,2025-08-29T19:42:26.221640,8 (188),right,1,4,left,left,7,,2,,5,,2,3,TEST_235
235,2025-08-29T18:53:48.221640,8 (188),full,2,1,left,left,3,7,,,,1,1,,TEST_235
235,2025-08-29T19:17:39.221640,9 (175),left,0,7,neither,right,2,6,,4,6,,,3,TEST_235
235,2025-08-29T19:01:13.221640,9 (175),right,1,6,right,neither,1,,,,5,6,,,TEST_235
235,2025-08-29T19:39:42.221640,9 (175),full,2,4,left,neither,7,,,5,,3,6,1,TEST_235
235,2025-08-29T19:07:43.221640,10 (145),left,0,4,neither,left,3,6,,,6,,7,,TEST_235
235,2025-08-29T19:07:44.221640,10 (145),right,1,5,left,right,5,7,,,,3,2,5,TEST_235
235,2025-08-29T19:03:04.221640,10 (145),full,2,2,left,right,5,,7,6,1,,,4,TEST_235
235,2025-08-29T18:58:07.221640,11 (111),left,0,2,neither,right,1,,4,1,,,7,2,TEST_235
235,2025-08-29T19:34:26.221640,11 (111),right,1,5,right,left,6,,2,,6,,5,4,TEST_235
235,2025-08-29T19:35:57.221640,11 (111),full,2,4,neither,left,3,,,2,,3,3,5,TEST_235
235,2025-08-29T18:43:13.221640,12 (122),left,0,4,neither,neither,2,2,5,,,,,,TEST_235
235,2025-08-29T19:37:57.221640,12 (122),right,1,2,left,right,5,2,7,,,6,6,6,TEST_235
235,2025-08-29T19:11:19.221640,12 (122),full,2,2,left,left,3,,2,6,4,,4,,TEST_235
235,2025-08-29T18:52:25.221640,13 (194),left,0,3,neither,left,6,3,5,6,1,,3,,TEST_235
235,2025-08-29T18:56:20.221640,13 (194),right,1,6,neither,left,1,,,,4,1,,5,TEST_235
235,2025-08-29T18:54:18.221640,13 (194),full,2,5,neither,right,7,,,,1,4,7,,TEST_235
235,2025-08-29T18:59:36.221640,14 (126),left,0,6,neither,neither,4,,,,4,,3,,TEST_235
235,2025-08-29T19:33:29.221640,14 (126),right,1,7,neither,left,2,,7,4,5,,7,,TEST_235
235,2025-08-29T18:52:29.221640,14 (126),full,2,5,neither,right,2,,1,,,4,,4,TEST_235
235,2025-08-29T19:06:39.221640,15 (100),left,0,3,neither,left,4,,,1,,6,,3,TEST_235
235,2025-08-29T19:17:01.221640,15 (100),right,1,1,neither,right,3,,,,3,,,,TEST_235
235,2025-08-29T18:52:45.221640,15 (100),full,2,7,neither,left,3,,,,,6,4,1,TEST_235
235,2025-08-29T19:19:05.221640,16 (129),left,0,3,left,neither,1,2,5,3,,6,5,7,TEST_235
235,2025-08-29T19:40:22.221640,16 (129),right,1,7,right,right,6,4,6,,1,,3,5,TEST_235
235,2025-08-29T19:42:26.221640,16 (129),full,2,7,right,neither,6,6,,7,4,7,6,1,TEST_235
235,2025-08-29T19:09:55.221640,17 (116),left,0,1,left,left,1,,5,4,,,5,5,TEST_235
235,2025-08-29T19:22:03.221640,17 (116),right,1,1,neither,neither,5,1,,1,2,,7,4,TEST_235
235,2025-08-29T19:33:58.221640,17 (116),full,2,2,neither,neither,2,,,5,,5,,5,TEST_235
235,2025-08-29T18:54:19.221640,18 (115),left,0,3,left,neither,6,,,5,2,6,1,6,TEST_235
235,2025-08-29T19:40:01.221640,18 (115),right,1,5,right,neither,2,,7,,,,,,TEST_235
235,2025-08-29T19:38:38.221640,18 (115),full,2,3,left,right,1,4,,5,7,5,,,TEST_235
235,2025-08-29T19:19:57.221640,19 (186),left,0,2,neither,left,6,5,,,3,2,,2,TEST_235
235,2025-08-29T19:33:02.221640,19 (186),right,1,3,left,neither,6,,,2,,1,,3,TEST_235
235,2025-08-29T19:30:08.221640,19 (186),full,2,7,right,left,4,,5,3,4,7,,6,TEST_235
235,2025-08-29T19:09:55.221640,20 (198),left,0,6,right,left,3,4,,1,7,,,3,TEST_235
235,2025-08-29T19:26:58.221640,20 (198),right,1,6,right,neither,6,,,,4,6,,,TEST_235
235,2025-08-29T19:19:27.221640,20 (198),full,2,5,right,left,7,1,,6,,1,4,6,TEST_235
235,2025-08-29T19:02:41.221640,21 (198),left,0,4,right,right,5,,4,,,3,,,TEST_235
235,2025-08-29T19:13:17.221640,21 (198),right,1,4,neither,neither,5,,2,5,,,4,,TEST_235
235,2025-08-29T18:50:11.221640,21 (198),full,2,2,right,right,2,,1,,5,3,6,7,TEST_235
235,2025-08-29T19:10:15.221640,22 (140),left,0,4,right,neither,5,7,,,5,,3,4,TEST_235
235,2025-08-29T19:37:42.221640,22 (140),right,1,6,neither,left,1,6,7,,7,5,3,,TEST_235
235,2025-08-29T19:02:55.221640,22 (140),full,2,1,right,neither,2,1,6,,,3,1,7,TEST_235
235,2025-08-29T18:55:42.221640,23 (122),left,0,7,neither,neither,3,,,,,4,2,,TEST_235
235,2025-08-29T18:57:48.221640,23 (122),right,1,1,left,left,5,,,,5,6,4,3,TEST_235
235,2025-08-29T19:42:20.221640,23 (122),full,2,3,right,left,2,,,6,,5,7,,TEST_235
235,2025-08-29T18:50:47.221640,24 (149),left,0,5,left,left,7,,,4,,,2,6,TEST_235
235,2025-08-29T19:43:24.221640,24 (149),right,1,1,left,neither,3,,,,,,6,5,TEST_235
235,2025-08-29T19:03:30.221640,24 (149),full,2,1,left,right,6,1,,,,5,1,,TEST_235
235,2025-08-29T19:39:21.221640,25 (162),left,0,3,neither,neither,3,,4,,,6,,7,TEST_235
235,2025-08-29T19:26:16.221640,25 (162),right,1,1,neither,right,2,,5,2,4,1,4,1,TEST_235
235,2025-08-29T18:50:40.221640,25 (162),full,2,5,right,right,3,,,5,,2,,,TEST_235
235,2025-08-29T19:22:30.221640,26 (139),left,0,5,neither,left,3,,6,,5,,6,,TEST_235
235,2025-08-29T19:33:24.221640,26 (139),right,1,1,neither,neither,3,7,4,,1,4,,3,TEST_235
235,2025-08-29T19:05:30.221640,26 (139),full,2,7,neither,neither,3,4,3,,5,4,,6,TEST_235
235,2025-08-29T19:39:42.221640,27 (103),left,0,1,left,right,7,4,,7,,1,3,1,TEST_235
