pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
245,2025-09-01T20:40:18.221640,1 (168),left,0,1,right,right,2,7,,,7,1,,,TEST_245
245,2025-09-01T21:03:15.221640,1 (168),right,1,4,right,neither,3,7,5,,,,7,,TEST_245
245,2025-09-01T20:30:26.221640,1 (168),full,2,4,left,left,7,6,,,,,,,TEST_245
245,2025-09-01T20:30:21.221640,2 (128),left,0,4,left,right,3,,,,1,6,7,,TEST_245
245,2025-09-01T20:53:25.221640,2 (128),right,1,6,right,left,7,4,,2,2,,1,6,TEST_245
245,2025-09-01T20:48:28.221640,2 (128),full,2,7,right,neither,6,,6,,,,5,4,TEST_245
245,2025-09-01T20:27:46.221640,3 (160),left,0,6,right,left,5,7,,1,5,7,,,TEST_245
245,2025-09-01T21:24:28.221640,3 (160),right,1,2,neither,right,4,,,,,6,,,TEST_245
245,2025-09-01T21:25:04.221640,3 (160),full,2,4,left,neither,3,,5,,,,,,TEST_245
245,2025-09-01T21:07:41.221640,4 (121),left,0,2,right,neither,7,5,,,,,,,TEST_245
245,2025-09-01T21:03:57.221640,4 (121),right,1,2,right,neither,2,,7,7,,4,,,TEST_245
245,2025-09-01T21:13:31.221640,4 (121),full,2,7,right,right,2,1,,,1,,,7,TEST_245
245,2025-09-01T21:15:55.221640,5 (147),left,0,6,left,neither,4,1,,7,5,,5,,TEST_245
245,2025-09-01T21:25:20.221640,5 (147),right,1,1,right,left,7,1,5,3,,,2,1,TEST_245
245,2025-09-01T20:32:59.221640,5 (147),full,2,3,neither,neither,1,6,,,,,5,,TEST_245
245,2025-09-01T21:19:51.221640,6 (194),left,0,3,left,neither,4,3,,,1,,2,,TEST_245
245,2025-09-01T21:19:00.221640,6 (194),right,1,2,left,left,6,2,,,,,,,TEST_245
245,2025-09-01T20:45:04.221640,6 (194),full,2,1,neither,right,5,,4,,,,7,,TEST_245
245,2025-09-01T20:31:43.221640,7 (129),left,0,3,right,neither,6,7,,,1,,,5,TEST_245
245,2025-09-01T20:36:37.221640,7 (129),right,1,5,right,left,5,,1,4,2,,7,,TEST_245
245,2025-09-01T20:31:34.221640,7 (129),full,2,2,neither,right,3,,,6,1,5,3,1,TEST_245
245,2025-09-01T20:28:08.221640,8 (101),left,0,5,right,right,1,,,7,3,,,4,TEST_245
245,2025-09-01T21:18:49.221640,8 (101),right,1,7,left,neither,5,,,4,7,,,,TEST_245
245,2025-09-01T20:49:00.221640,8 (101),full,2,6,neither,neither,5,,,5,,,1,,TEST_245
245,2025-09-01T20:28:41.221640,9 (195),left,0,2,right,right,4,,,7,4,2,4,6,TEST_245
245,2025-09-01T21:23:34.221640,9 (195),right,1,3,left,neither,1,,7,6,,1,6,7,TEST_245
245,2025-09-01T21:19:43.221640,9 (195),full,2,5,right,neither,4,3,4,,,6,5,3,TEST_245
245,2025-09-01T20:43:29.221640,10 (164),left,0,2,left,right,7,1,4,,,3,3,1,TEST_245
245,2025-09-01T21:09:41.221640,10 (164),right,1,7,right,right,7,,3,,7,,4,,TEST_245
245,2025-09-01T21:09:40.221640,10 (164),full,2,2,left,neither,1,5,,,,,,7,TEST_245
245,2025-09-01T21:18:18.221640,11 (111),left,0,2,left,left,6,6,4,5,2,4,7,,TEST_245
245,2025-09-01T20:53:40.221640,11 (111),right,1,6,neither,neither,6,,,6,1,1,4,2,TEST_245
245,2025-09-01T20:56:37.221640,11 (111),full,2,5,right,left,2,,,,1,5,,6,TEST_245
245,2025-09-01T20:45:36.221640,12 (198),left,0,6,neither,neither,1,,3,,,,7,,TEST_245
245,2025-09-01T20:31:25.221640,12 (198),right,1,7,right,left,1,2,,5,2,7,,,TEST_245
245,2025-09-01T20:54:03.221640,12 (198),full,2,5,neither,right,2,3,5,,2,7,7,,TEST_245
