Participant ID,FaceNumber,FaceVersion,Trust,Masculinity,Femininity
P007,1,Left Half,5,2,6
P007,1,Right Half,4,3,5
P007,1,Full Face,2,4,3
P007,2,Left Half,3,5,4
P007,2,Right Half,6,2,5
P007,2,Full Face,5,3,2
P007,3,Left Half,4,3,5
P007,3,Right Half,2,5,4
P007,3,Full Face,6,4,3
P007,4,Left Half,5,3,2
P007,4,Right Half,3,4,5
P007,4,Full Face,4,2,6
P007,5,Left Half,2,5,3
P007,5,Right Half,6,3,4
P007,5,Full Face,3,5,2
P007,6,Left Half,4,2,6
P007,6,Right Half,5,4,3
P007,6,Full Face,2,3,5
P007,7,Left Half,3,4,2
P007,7,Right Half,6,5,4
P007,7,Full Face,5,2,6
P007,8,Left Half,4,3,5
P007,8,Right Half,2,5,3
P007,8,Full Face,6,4,2
P007,9,Left Half,5,2,4
P007,9,Right Half,3,5,6
P007,9,Full Face,4,3,5
P007,10,Left Half,2,4,3
P007,10,Right Half,5,2,6
P007,10,Full Face,3,5,4
P007,11,Left Half,4,5,2
P007,11,Right Half,6,3,5
P007,11,Full Face,5,4,3
P007,12,Left Half,3,2,6
P007,12,Right Half,4,3,5
P007,12,Full Face,2,5,4
P007,13,Left Half,5,4,3
P007,13,Right Half,6,2,5
P007,13,Full Face,4,3,6
P007,14,Left Half,3,5,2
P007,14,Right Half,2,4,6
P007,14,Full Face,5,2,4
P007,15,Left Half,4,3,5
P007,15,Right Half,5,5,2
P007,15,Full Face,2,4,6
P007,16,Left Half,3,2,6
P007,16,Right Half,6,4,5
P007,16,Full Face,5,3,2
P007,17,Left Half,4,5,3
P007,17,Right Half,2,3,6
P007,17,Full Face,6,2,5
P007,18,Left Half,5,3,4
P007,18,Right Half,3,4,2
P007,18,Full Face,4,5,3
P007,19,Left Half,2,5,4
P007,19,Right Half,6,2,5
P007,19,Full Face,3,4,6
P007,20,Left Half,3,4,2
P007,20,Right Half,5,2,4
P007,20,Full Face,6,5,3
P007,21,Left Half,4,3,5
P007,21,Right Half,2,5,4
P007,21,Full Face,5,4,2
P007,22,Left Half,6,2,3
P007,22,Right Half,3,5,4
P007,22,Full Face,4,2,6
P007,23,Left Half,5,3,5
P007,23,Right Half,4,2,6
P007,23,Full Face,2,3,4
P007,24,Left Half,3,5,4
P007,24,Right Half,6,4,3
P007,24,Full Face,5,2,5
P007,25,Left Half,2,4,6
P007,25,Right Half,5,3,2
P007,25,Full Face,4,5,3
P007,26,Left Half,3,2,5
P007,26,Right Half,6,5,4
P007,26,Full Face,2,4,6
P007,27,Left Half,4,3,5
P007,27,Right Half,5,2,6
P007,27,Full Face,3,5,2
P007,28,Left Half,6,4,3
P007,28,Right Half,2,5,4
P007,28,Full Face,5,2,5
P007,29,Left Half,3,5,2
P007,29,Right Half,4,3,6
P007,29,Full Face,2,4,3
P007,30,Left Half,5,2,4
P007,30,Right Half,6,5,3
P007,30,Full Face,4,3,5
P007,31,Left Half,2,3,6
P007,31,Right Half,5,4,2
P007,31,Full Face,3,5,4
P007,32,Left Half,4,2,6
P007,32,Right Half,6,3,5
P007,32,Full Face,5,4,3
P007,33,Left Half,3,5,4
P007,33,Right Half,4,2,6
P007,33,Full Face,2,3,5
P007,34,Left Half,5,4,3
P007,34,Right Half,6,5,2
P007,34,Full Face,4,3,6
P007,35,Left Half,2,4,5
P007,35,Right Half,5,2,3
P007,35,Full Face,3,5,4
