pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
242,2025-08-26T08:37:53.221640,1 (129),left,0,2,right,right,7,,5,3,,2,4,,TEST_242
242,2025-08-26T08:38:05.221640,1 (129),right,1,3,left,left,2,3,,6,,,1,,TEST_242
242,2025-08-26T08:09:05.221640,1 (129),full,2,7,left,neither,4,,7,3,5,,,4,TEST_242
242,2025-08-26T08:27:51.221640,2 (163),left,0,6,neither,left,3,,4,3,,,,,TEST_242
242,2025-08-26T08:45:38.221640,2 (163),right,1,2,right,right,6,2,,1,4,5,,4,TEST_242
242,2025-08-26T08:24:29.221640,2 (163),full,2,2,left,neither,5,,5,,1,6,2,1,TEST_242
242,2025-08-26T08:38:30.221640,3 (170),left,0,7,left,right,7,,4,,5,3,,7,TEST_242
242,2025-08-26T08:36:04.221640,3 (170),right,1,4,left,neither,3,,,7,6,3,5,,TEST_242
242,2025-08-26T08:21:16.221640,3 (170),full,2,5,right,neither,5,5,2,7,7,,,4,TEST_242
242,2025-08-26T08:16:01.221640,4 (193),left,0,6,neither,left,7,,4,,,,,,TEST_242
242,2025-08-26T08:05:58.221640,4 (193),right,1,3,right,left,4,,3,5,1,,,,TEST_242
242,2025-08-26T07:49:42.221640,4 (193),full,2,2,left,right,6,,,5,,5,,3,TEST_242
242,2025-08-26T08:05:38.221640,5 (180),left,0,7,neither,left,4,,,1,4,5,3,,TEST_242
242,2025-08-26T08:35:41.221640,5 (180),right,1,5,neither,neither,2,7,1,5,,,,4,TEST_242
242,2025-08-26T07:50:27.221640,5 (180),full,2,5,right,right,5,,4,,3,4,3,3,TEST_242
242,2025-08-26T08:03:56.221640,6 (176),left,0,3,neither,right,2,,2,3,,2,7,,TEST_242
242,2025-08-26T08:01:20.221640,6 (176),right,1,1,right,left,7,,3,,4,,,,TEST_242
242,2025-08-26T07:58:17.221640,6 (176),full,2,7,right,left,2,,3,4,7,,,,TEST_242
242,2025-08-26T08:14:37.221640,7 (152),left,0,5,left,neither,3,,4,1,,,5,6,TEST_242
242,2025-08-26T07:54:16.221640,7 (152),right,1,7,right,left,5,1,6,6,,1,7,,TEST_242
242,2025-08-26T08:26:44.221640,7 (152),full,2,3,right,right,4,,,,7,6,7,6,TEST_242
242,2025-08-26T08:31:07.221640,8 (173),left,0,3,right,right,5,4,,,2,1,,,TEST_242
242,2025-08-26T08:30:31.221640,8 (173),right,1,7,left,neither,6,,,,1,1,,,TEST_242
242,2025-08-26T08:35:55.221640,8 (173),full,2,3,left,right,2,1,,7,7,,1,,TEST_242
