pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
261,2025-09-01T23:44:49.221640,1 (159),left,0,6,left,left,4,,1,2,,7,1,,TEST_261
261,2025-09-02T00:17:29.221640,1 (159),right,1,2,neither,neither,4,5,6,7,,,2,,TEST_261
261,2025-09-02T00:08:42.221640,1 (159),full,2,6,neither,right,6,,,,,,,6,TEST_261
261,2025-09-02T00:32:02.221640,2 (143),left,0,6,right,neither,7,,,,,5,,,TEST_261
261,2025-09-02T00:35:17.221640,2 (143),right,1,6,left,right,5,,,3,,,6,,TEST_261
261,2025-09-02T00:40:07.221640,2 (143),full,2,2,neither,right,5,,3,,6,4,,,TEST_261
261,2025-09-02T00:27:21.221640,3 (162),left,0,5,neither,neither,1,,6,,,1,,7,TEST_261
261,2025-09-02T00:05:26.221640,3 (162),right,1,2,right,left,5,1,5,4,2,6,1,2,TEST_261
261,2025-09-02T00:18:44.221640,3 (162),full,2,6,left,right,7,,,5,,,,,TEST_261
261,2025-09-01T23:48:31.221640,4 (120),left,0,3,right,right,7,4,7,7,,1,5,4,TEST_261
261,2025-09-01T23:44:02.221640,4 (120),right,1,3,left,left,6,6,,,,,4,1,TEST_261
261,2025-09-01T23:47:42.221640,4 (120),full,2,2,neither,left,6,,,,,4,,,TEST_261
261,2025-09-02T00:36:03.221640,5 (178),left,0,4,right,neither,3,,,,,5,,,TEST_261
261,2025-09-02T00:29:13.221640,5 (178),right,1,2,neither,right,2,,,2,7,,,4,TEST_261
261,2025-09-01T23:50:12.221640,5 (178),full,2,2,neither,neither,3,,7,3,,,,,TEST_261
261,2025-09-02T00:20:14.221640,6 (174),left,0,1,left,neither,5,2,,2,7,4,,,TEST_261
261,2025-09-01T23:45:49.221640,6 (174),right,1,1,left,neither,6,4,,,6,6,7,4,TEST_261
261,2025-09-02T00:09:06.221640,6 (174),full,2,7,neither,left,6,,,,,3,,1,TEST_261
261,2025-09-02T00:22:35.221640,7 (118),left,0,4,left,right,3,4,,,5,,7,6,TEST_261
261,2025-09-01T23:55:40.221640,7 (118),right,1,2,neither,right,7,,,2,6,,2,,TEST_261
261,2025-09-02T00:35:15.221640,7 (118),full,2,7,neither,right,1,,1,1,,,,,TEST_261
261,2025-09-02T00:20:21.221640,8 (108),left,0,4,neither,left,5,,6,,,6,,,TEST_261
261,2025-09-02T00:38:48.221640,8 (108),right,1,2,neither,neither,2,,1,2,5,,,,TEST_261
261,2025-09-02T00:07:43.221640,8 (108),full,2,3,neither,right,3,6,6,4,,4,1,,TEST_261
261,2025-09-02T00:37:56.221640,9 (131),left,0,2,right,neither,4,7,2,6,,1,3,3,TEST_261
261,2025-09-02T00:11:00.221640,9 (131),right,1,7,neither,neither,6,2,1,,7,,,5,TEST_261
261,2025-09-02T00:40:05.221640,9 (131),full,2,4,right,neither,2,,7,6,1,,,5,TEST_261
261,2025-09-02T00:32:37.221640,10 (142),left,0,4,left,right,7,2,,4,4,6,2,,TEST_261
261,2025-09-02T00:03:07.221640,10 (142),right,1,2,neither,right,7,,,,1,,,1,TEST_261
261,2025-09-02T00:37:48.221640,10 (142),full,2,1,neither,left,6,4,4,4,6,,2,2,TEST_261
261,2025-09-02T00:41:34.221640,11 (191),left,0,4,left,right,2,,,5,4,1,,,TEST_261
261,2025-09-02T00:20:37.221640,11 (191),right,1,1,right,left,2,2,6,,,,,6,TEST_261
261,2025-09-01T23:47:16.221640,11 (191),full,2,3,right,neither,2,1,3,,,,4,,TEST_261
261,2025-09-02T00:39:27.221640,12 (113),left,0,7,neither,neither,4,2,,2,,,,,TEST_261
261,2025-09-02T00:29:15.221640,12 (113),right,1,2,neither,left,1,2,,,5,6,4,5,TEST_261
261,2025-09-02T00:00:55.221640,12 (113),full,2,5,neither,right,5,,1,3,,1,,4,TEST_261
261,2025-09-02T00:28:25.221640,13 (124),left,0,4,left,neither,7,,1,,,,,2,TEST_261
261,2025-09-01T23:47:25.221640,13 (124),right,1,1,right,right,4,4,,,,1,1,,TEST_261
261,2025-09-01T23:53:49.221640,13 (124),full,2,2,left,left,5,,7,4,,,6,1,TEST_261
261,2025-09-02T00:07:35.221640,14 (133),left,0,2,right,right,6,7,1,,,,6,,TEST_261
261,2025-09-02T00:09:25.221640,14 (133),right,1,4,right,right,6,,,2,,,,,TEST_261
261,2025-09-01T23:58:26.221640,14 (133),full,2,1,left,left,5,4,7,,,2,6,1,TEST_261
261,2025-09-02T00:37:59.221640,15 (141),left,0,5,right,neither,1,,2,5,6,,2,4,TEST_261
261,2025-09-02T00:04:57.221640,15 (141),right,1,6,left,left,3,,2,,,,7,,TEST_261
261,2025-09-02T00:36:01.221640,15 (141),full,2,7,neither,left,2,1,7,5,6,,,4,TEST_261
261,2025-09-02T00:21:07.221640,16 (169),left,0,5,right,neither,2,6,,,2,4,,1,TEST_261
261,2025-09-01T23:44:51.221640,16 (169),right,1,5,left,neither,4,,,,,6,1,,TEST_261
261,2025-09-02T00:03:53.221640,16 (169),full,2,4,neither,neither,4,2,3,,1,2,1,5,TEST_261
261,2025-09-02T00:30:27.221640,17 (180),left,0,3,neither,right,4,,3,,,,,,TEST_261
261,2025-09-01T23:57:23.221640,17 (180),right,1,7,left,right,1,7,1,,7,5,,,TEST_261
261,2025-09-02T00:11:20.221640,17 (180),full,2,5,right,right,1,,,,,,5,7,TEST_261
261,2025-09-02T00:10:10.221640,18 (134),left,0,2,neither,right,3,7,7,1,,5,,1,TEST_261
261,2025-09-02T00:02:21.221640,18 (134),right,1,5,right,neither,1,,,,4,2,,6,TEST_261
261,2025-09-02T00:38:27.221640,18 (134),full,2,4,neither,left,4,6,7,7,,2,1,,TEST_261
