pid,timestamp,face_id,version,order_presented,trust_rating,masc_choice,fem_choice,emotion_rating,trust_q2,trust_q3,pers_q1,pers_q2,pers_q3,pers_q4,pers_q5,prolific_pid
249,2025-09-06T11:56:21.221640,1 (134),left,0,6,right,neither,6,7,,,,1,2,3,TEST_249
249,2025-09-06T11:33:17.221640,1 (134),right,1,5,right,left,3,,,,,4,5,,TEST_249
249,2025-09-06T11:41:36.221640,1 (134),full,2,7,right,right,7,6,,7,,2,,,TEST_249
249,2025-09-06T12:10:53.221640,2 (173),left,0,6,left,right,7,2,7,6,,4,,4,TEST_249
249,2025-09-06T11:43:38.221640,2 (173),right,1,1,right,right,1,7,1,,7,,,,TEST_249
249,2025-09-06T11:25:05.221640,2 (173),full,2,4,neither,left,1,6,,3,,,,4,TEST_249
249,2025-09-06T12:18:50.221640,3 (190),left,0,3,left,left,3,2,1,4,1,,,3,TEST_249
249,2025-09-06T11:46:06.221640,3 (190),right,1,5,right,left,1,,,,4,,,1,TEST_249
249,2025-09-06T12:20:21.221640,3 (190),full,2,3,right,left,7,,7,,,,2,,TEST_249
249,2025-09-06T12:06:12.221640,4 (112),left,0,4,neither,left,3,,4,,2,7,4,,TEST_249
249,2025-09-06T12:06:53.221640,4 (112),right,1,2,right,right,5,,1,1,7,7,,,TEST_249
249,2025-09-06T11:23:29.221640,4 (112),full,2,6,left,neither,4,7,,5,5,2,6,,TEST_249
249,2025-09-06T12:20:53.221640,5 (100),left,0,5,right,neither,1,,,,,,,,TEST_249
249,2025-09-06T11:30:48.221640,5 (100),right,1,1,right,right,4,3,7,4,4,,5,4,TEST_249
249,2025-09-06T12:06:02.221640,5 (100),full,2,2,right,neither,6,,4,6,,5,,,TEST_249
249,2025-09-06T11:41:08.221640,6 (132),left,0,7,right,neither,1,3,5,,6,1,7,5,TEST_249
249,2025-09-06T11:50:31.221640,6 (132),right,1,3,left,right,5,,5,,,3,6,,TEST_249
249,2025-09-06T12:20:55.221640,6 (132),full,2,5,neither,right,6,3,,7,,,5,5,TEST_249
249,2025-09-06T11:39:45.221640,7 (190),left,0,3,neither,neither,6,6,,5,,4,7,2,TEST_249
249,2025-09-06T11:30:04.221640,7 (190),right,1,7,right,left,6,3,2,,,,2,,TEST_249
249,2025-09-06T11:47:33.221640,7 (190),full,2,7,neither,left,3,6,,1,4,,7,,TEST_249
249,2025-09-06T11:25:31.221640,8 (118),left,0,5,left,neither,7,,,1,,3,,,TEST_249
249,2025-09-06T12:02:34.221640,8 (118),right,1,2,neither,left,4,3,7,,,,6,1,TEST_249
249,2025-09-06T11:25:03.221640,8 (118),full,2,1,right,right,4,,1,2,5,4,6,7,TEST_249
249,2025-09-06T12:18:37.221640,9 (116),left,0,6,right,neither,1,3,,5,,2,5,,TEST_249
249,2025-09-06T11:35:57.221640,9 (116),right,1,2,neither,left,3,,7,2,,,5,,TEST_249
249,2025-09-06T12:02:44.221640,9 (116),full,2,6,left,neither,4,5,6,,4,,6,6,TEST_249
249,2025-09-06T12:05:25.221640,10 (180),left,0,5,neither,neither,3,,,,,,3,3,TEST_249
249,2025-09-06T11:44:21.221640,10 (180),right,1,7,neither,right,6,4,3,,,7,2,4,TEST_249
249,2025-09-06T12:07:49.221640,10 (180),full,2,4,left,left,2,1,2,7,7,,,1,TEST_249
249,2025-09-06T11:34:00.221640,11 (107),left,0,2,left,neither,2,7,,2,2,,,,TEST_249
249,2025-09-06T12:04:56.221640,11 (107),right,1,2,neither,neither,4,3,,,4,4,1,,TEST_249
249,2025-09-06T11:31:31.221640,11 (107),full,2,7,neither,left,1,,6,4,3,7,7,,TEST_249
249,2025-09-06T11:59:43.221640,12 (196),left,0,5,neither,right,7,,,,7,7,2,,TEST_249
249,2025-09-06T12:06:39.221640,12 (196),right,1,6,left,left,2,,,7,1,4,,1,TEST_249
249,2025-09-06T12:05:36.221640,12 (196),full,2,2,right,neither,7,,4,1,1,,,7,TEST_249
249,2025-09-06T11:55:11.221640,13 (184),left,0,1,left,neither,4,,,3,3,5,3,1,TEST_249
249,2025-09-06T11:58:14.221640,13 (184),right,1,6,neither,neither,4,,,,1,4,,,TEST_249
249,2025-09-06T12:08:42.221640,13 (184),full,2,7,neither,right,4,,6,6,,1,,6,TEST_249
249,2025-09-06T12:18:00.221640,14 (130),left,0,2,right,right,4,7,6,4,4,1,4,,TEST_249
249,2025-09-06T12:05:47.221640,14 (130),right,1,7,neither,right,1,6,,1,4,6,6,,TEST_249
249,2025-09-06T11:37:13.221640,14 (130),full,2,3,neither,left,4,7,,7,1,,,3,TEST_249
249,2025-09-06T11:50:15.221640,15 (138),left,0,4,left,right,2,4,7,1,3,,,,TEST_249
249,2025-09-06T11:41:17.221640,15 (138),right,1,4,left,right,2,7,,3,6,2,6,1,TEST_249
249,2025-09-06T11:48:56.221640,15 (138),full,2,2,right,left,1,3,,7,5,,,1,TEST_249
249,2025-09-06T12:05:50.221640,16 (101),left,0,7,right,right,7,3,7,,1,,,,TEST_249
249,2025-09-06T12:02:49.221640,16 (101),right,1,2,left,neither,1,4,7,,7,,2,5,TEST_249
249,2025-09-06T11:39:00.221640,16 (101),full,2,5,left,left,6,,3,,7,,,,TEST_249
249,2025-09-06T11:52:12.221640,17 (166),left,0,7,neither,neither,4,3,4,5,,1,,,TEST_249
249,2025-09-06T11:53:04.221640,17 (166),right,1,1,right,left,7,,,,5,,,,TEST_249
249,2025-09-06T11:24:48.221640,17 (166),full,2,3,right,neither,5,7,,,7,,,6,TEST_249
249,2025-09-06T11:36:57.221640,18 (122),left,0,5,right,left,7,,,,,,2,6,TEST_249
249,2025-09-06T11:49:14.221640,18 (122),right,1,5,left,right,1,,,3,4,,3,6,TEST_249
249,2025-09-06T11:37:12.221640,18 (122),full,2,5,right,right,2,,2,,5,4,,2,TEST_249
249,2025-09-06T11:52:25.221640,19 (184),left,0,4,right,left,6,6,7,,6,,4,7,TEST_249
249,2025-09-06T11:52:14.221640,19 (184),right,1,5,left,neither,6,3,,2,,5,,,TEST_249
249,2025-09-06T11:37:27.221640,19 (184),full,2,5,left,right,7,4,6,,,6,,2,TEST_249
249,2025-09-06T12:04:21.221640,20 (100),left,0,5,right,left,3,,2,3,,3,,4,TEST_249
249,2025-09-06T11:32:40.221640,20 (100),right,1,2,neither,right,1,3,4,2,,,4,,TEST_249
249,2025-09-06T11:24:23.221640,20 (100),full,2,6,neither,neither,5,,4,5,5,,4,1,TEST_249
249,2025-09-06T11:34:46.221640,21 (185),left,0,2,neither,left,1,2,2,,3,,,,TEST_249
